"","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating"
"131","Hollywood between Paranoia and Sci-Fi. The Power of Myth","06 May 2011",0.264897,118399,0,"Documentary","6.3/10","26","Clara Kuperberg, Julia Kuperberg",NA
"132","Point of Origin","22 Jun 2002",0.503931,0,0,"Crime, Drama, Thriller","5.9/10","1,154","Newton Thomas Sigel",NA
"133","Los irrompibles","17 Jul 1975",0.00135,0,0,"Adventure, Western, Mystery","5.8/10","46","Emilio Vieyra",NA
"134","Joey Coco Diaz: Sociably UnAcceptable","'08/12/2016'",0.148216,0,0,NA,NA,NA,NA,NA
"135","El multiplicador","'NaT'",0,0,0,NA,NA,NA,NA,NA
"136","Da wo die Herzen schlagen","'18/05/2004'",0.036072,0,0,"Comedy, Romance","2.1/10","30","Karl Kases",NA
"137","Design for Living","29 Dec 1933",0.353114,0,0,"Comedy, Romance","7.6/10","4,312","Ernst Lubitsch","75%"
"138","Astonishing X-Men: Gifted","'28/09/2010'",0.020911,0,0,NA,NA,NA,NA,NA
"139","The African Lion","14 Sep 1955",0.103793,0,0,"Family, Documentary","7.5/10","163","James Algar",NA
"140","Ek Thi Daayan","18 Apr 2013",0.032381,0,0,"Horror, Romance, Thriller","5.7/10","3,230","Kannan Iyer",NA
"141","The Kids","16 Jul 2015",0.059195,0,0,"Drama","5.7/10","13","Sunny Yu",NA
"142","As Cool as I Am","21 Jun 2013",0.267794,0,0,"Comedy, Drama","5.9/10","4,532","Max Mayer","14%"
"143","The Distinguished Gentleman","04 Dec 1992",1.775844,0,46434570,"Comedy, Crime","5.9/10","13,101","Jonathan Lynn","13%"
"144","Opus II","'31/12/1921'",0.002074,0,0,"Animation, Short","6.1/10","207","Walter Ruttmann",NA
"145","My Neighbor's Keeper","18 Jun 2007",0.015836,0,0,"Crime, Mystery, Thriller","5.6/10","186","Walter Klenhard",NA
"146","The Facility","23 Jun 2012",1.523794,0,0,"Horror","4.8/10","1,574","Ian Clark",NA
"147","Jack Whitehall Live","19 Nov 2012",0.186227,0,0,"Documentary, Comedy","6.9/10","113","Ben Cavey, Brian Klein",NA
"148","Deewane Huye Paagal","25 Nov 2005",0.404031,0,355962,"Action, Comedy, Drama","5.3/10","3,277","Vikram Bhatt",NA
"149","Broken Highway","17 Feb 1994",0.275625,0,0,"N/A","5.9/10","23","Laurie McInnes",NA
"150","Cirque du Soleil: Varekai","14 Jun 2003",0.008506,0,0,"Family, Fantasy, Music","8.0/10","478","Dominic Champagne, Nick Morris",NA
"151","Hemso","19 Jan 2001",0.002063,0,0,"Comedy, Drama","4.6/10","1,734","÷mer Ugur",NA
"152","Odd Shoe","09 Mar 2008",0.0075,0,0,"Short, Drama","6.5/10","36","Paul Cotter",NA
"153","Behind the Spanish Lines","'02/01/1938'",0.002422,0,0,"Documentary, Short","5.0/10","8","Sidney Cole, Thorold Dickinson",NA
"154","Kodou","'02/01/1973'",3e-06,0,0,"Short",NA,"N/A","Aya Kamata",NA
"155","Beyond","02 Jan 2017",0.238823,0,0,"Drama, Fantasy, Mystery","7.3/10","4,172","N/A",NA
"156","The Gruffalo's Child","01 Dec 2011",0.842792,0,0,"Animation, Family","7.1/10","1,894","Uwe Heidschˆtter, Johannes Weiland",NA
"157","Reina Zanahoria","'01/01/1977'",0.12083,0,0,NA,NA,NA,NA,NA
"158","Othello","19 Jan 1996",0.439712,0,0,"Drama, Romance","6.9/10","7,935","Oliver Parker","68%"
"159","Snow Bride","09 Nov 2013",0.413798,0,0,"Comedy, Family, Romance","6.8/10","1,644","Bert Kish",NA
"160","La femme aux bottes rouges","01 Jun 1977",0.432827,0,0,"Comedy, Drama, Fantasy","6.4/10","305","Juan Luis BuÒuel",NA
"161","Duplicity","20 Mar 2009",0.007217,0,0,"Comedy, Crime, Romance","6.2/10","43,087","Tony Gilroy","65%"
"162","Goldstaub","'01/01/1993'",1e-06,0,0,"Romance",NA,"N/A","Ottokar Runze",NA
"163","LÃ©gitime DÃ©fense","'16/03/2011'",0.166139,0,0,NA,NA,NA,NA,NA
"164","Amazona","'10/03/1987'",NA,0,0,"Documentary, Drama",NA,"N/A","Clare Weiskopf, Nicolas van Hemelryck",NA
"165","The Picture Idol","31 May 1912",0.00422,0,0,"Short, Comedy","5.9/10","12","James Young",NA
